FORFAIT,DU,AU,VILLE DE DEPART,VILLE D'ARRIVEE,NBRE NUITEE,ARRANGEMENT,PRIXTTC, REDUCTION , Page , Position , Date Scraping 
hôtel bel azur thalasso & bungalows 4*,19/02/2019,4/3/2019,Nantes,hammamet,14j/13n,tout compris,615,,,,
hôtel bel azur thalasso & bungalows 4*,20/02/2019,5/3/2019,Nantes,hammamet,14j/13n,tout compris,1040,,,,
hôtel bel azur thalasso & bungalows 4*,21/02/2019,6/3/2019,Nantes,hammamet,14j/13n,tout compris,667,,,,
hôtel bel azur thalasso & bungalows 4*,22/02/2019,7/3/2019,Nantes,hammamet,14j/13n,tout compris,790,,,,
hôtel bel azur thalasso & bungalows 4*,23/02/2019,8/3/2019,Nantes,hammamet,14j/13n,tout compris,950,,,,
hôtel bel azur thalasso & bungalows 4*,24/02/2019,9/3/2019,Nantes,hammamet,14j/13n,tout compris,860,,,,
hôtel bel azur thalasso & bungalows 4*,25/02/2019,10/3/2019,Nantes,hammamet,14j/13n,tout compris,794,,,,
hôtel bel azur thalasso & bungalows 4*,26/02/2019,11/3/2019,Nantes,hammamet,14j/13n,tout compris,671,,,,
hôtel bel azur thalasso & bungalows 4*,27/02/2019,12/3/2019,Nantes,hammamet,14j/13n,tout compris,634,,,,
hôtel bel azur thalasso & bungalows 4*,28/02/2019,13/03/2019,Nantes,hammamet,14j/13n,tout compris,639,,,,
hôtel bel azur thalasso & bungalows 4*,17/02/2019,24/02/2019,Nantes,hammamet,8j/7n,tout compris,513,,,,
hôtel bel azur thalasso & bungalows 4*,18/02/2019,25/02/2019,Nantes,hammamet,8j/7n,tout compris,962,,,,
hôtel bel azur thalasso & bungalows 4*,19/02/2019,26/02/2019,Nantes,hammamet,8j/7n,tout compris,457,,,,
hôtel bel azur thalasso & bungalows 4*,20/02/2019,27/02/2019,Nantes,hammamet,8j/7n,tout compris,882,,,,
hôtel bel azur thalasso & bungalows 4*,21/02/2019,28/02/2019,Nantes,hammamet,8j/7n,tout compris,565,,,,
hôtel bel azur thalasso & bungalows 4*,22/02/2019,1/3/2019,Nantes,hammamet,8j/7n,tout compris,608,,,,
hôtel bel azur thalasso & bungalows 4*,23/02/2019,2/3/2019,Nantes,hammamet,8j/7n,tout compris,768,,,,
hôtel bel azur thalasso & bungalows 4*,24/02/2019,3/3/2019,Nantes,hammamet,8j/7n,tout compris,440,,,,
hôtel bel azur thalasso & bungalows 4*,25/02/2019,4/3/2019,Nantes,hammamet,8j/7n,tout compris,471,,,,
hôtel bel azur thalasso & bungalows 4*,26/02/2019,5/3/2019,Nantes,hammamet,8j/7n,tout compris,484,,,,
hôtel bel azur thalasso & bungalows 4*,27/02/2019,6/3/2019,Nantes,hammamet,8j/7n,tout compris,466,,,,
hôtel bel azur thalasso & bungalows 4*,28/02/2019,7/3/2019,Nantes,hammamet,8j/7n,tout compris,527,,,,
hôtel bel azur thalasso & bungalows 4*,15/02/2019,19/02/2019,Paris,hammamet,5j/4n,tout compris,383,,,,
hôtel bel azur thalasso & bungalows 4*,16/02/2019,20/02/2019,Paris,hammamet,5j/4n,tout compris,375,,,,
hôtel bel azur thalasso & bungalows 4*,17/02/2019,21/02/2019,Paris,hammamet,5j/4n,tout compris,352,,,,
hôtel bel azur thalasso & bungalows 4*,18/02/2019,22/02/2019,Paris,hammamet,5j/4n,tout compris,321,,,,
hôtel bel azur thalasso & bungalows 4*,19/02/2019,23/02/2019,Paris,hammamet,5j/4n,tout compris,336,,,,
hôtel bel azur thalasso & bungalows 4*,20/02/2019,24/02/2019,Paris,hammamet,5j/4n,tout compris,359,,,,
hôtel bel azur thalasso & bungalows 4*,21/02/2019,25/02/2019,Paris,hammamet,5j/4n,tout compris,342,,,,
hôtel bel azur thalasso & bungalows 4*,22/02/2019,26/02/2019,Paris,hammamet,5j/4n,tout compris,370,,,,
hôtel bel azur thalasso & bungalows 4*,23/02/2019,27/02/2019,Paris,hammamet,5j/4n,tout compris,376,,,,
hôtel bel azur thalasso & bungalows 4*,24/02/2019,28/02/2019,Paris,hammamet,5j/4n,tout compris,395,,,,
hôtel bel azur thalasso & bungalows 4*,25/02/2019,1/3/2019,Paris,hammamet,5j/4n,tout compris,385,,,,
hôtel bel azur thalasso & bungalows 4*,26/02/2019,2/3/2019,Paris,hammamet,5j/4n,tout compris,370,,,,
hôtel bel azur thalasso & bungalows 4*,27/02/2019,3/3/2019,Paris,hammamet,5j/4n,tout compris,359,,,,
hôtel bel azur thalasso & bungalows 4*,28/02/2019,4/3/2019,Paris,hammamet,5j/4n,tout compris,336,,,,
hôtel bel azur thalasso & bungalows 4*,15/02/2019,25/02/2019,Paris,hammamet,11j/10n,tout compris,559,,,,
hôtel bel azur thalasso & bungalows 4*,16/02/2019,26/02/2019,Paris,hammamet,11j/10n,tout compris,565,,,,
hôtel bel azur thalasso & bungalows 4*,17/02/2019,27/02/2019,Paris,hammamet,11j/10n,tout compris,523,,,,
hôtel bel azur thalasso & bungalows 4*,18/02/2019,28/02/2019,Paris,hammamet,11j/10n,tout compris,517,,,,
hôtel bel azur thalasso & bungalows 4*,19/02/2019,1/3/2019,Paris,hammamet,11j/10n,tout compris,529,,,,
hôtel bel azur thalasso & bungalows 4*,20/02/2019,2/3/2019,Paris,hammamet,11j/10n,tout compris,551,,,,
hôtel bel azur thalasso & bungalows 4*,21/02/2019,3/3/2019,Paris,hammamet,11j/10n,tout compris,540,,,,
hôtel bel azur thalasso & bungalows 4*,22/02/2019,4/3/2019,Paris,hammamet,11j/10n,tout compris,575,,,,
hôtel bel azur thalasso & bungalows 4*,23/02/2019,5/3/2019,Paris,hammamet,11j/10n,tout compris,601,,,,
hôtel bel azur thalasso & bungalows 4*,24/02/2019,6/3/2019,Paris,hammamet,11j/10n,tout compris,601,,,,
hôtel bel azur thalasso & bungalows 4*,25/02/2019,7/3/2019,Paris,hammamet,11j/10n,tout compris,582,,,,
hôtel bel azur thalasso & bungalows 4*,26/02/2019,8/3/2019,Paris,hammamet,11j/10n,tout compris,573,,,,
hôtel bel azur thalasso & bungalows 4*,27/02/2019,9/3/2019,Paris,hammamet,11j/10n,tout compris,573,,,,
hôtel bel azur thalasso & bungalows 4*,28/02/2019,10/3/2019,Paris,hammamet,11j/10n,tout compris,579,,,,
hôtel bel azur thalasso & bungalows 4*,15/02/2019,23/02/2019,Paris,hammamet,9j/8n,tout compris,529,,,,
hôtel bel azur thalasso & bungalows 4*,16/02/2019,24/02/2019,Paris,hammamet,9j/8n,tout compris,530,,,,
hôtel bel azur thalasso & bungalows 4*,17/02/2019,25/02/2019,Paris,hammamet,9j/8n,tout compris,485,,,,
hôtel bel azur thalasso & bungalows 4*,18/02/2019,26/02/2019,Paris,hammamet,9j/8n,tout compris,446,,,,
hôtel bel azur thalasso & bungalows 4*,19/02/2019,27/02/2019,Paris,hammamet,9j/8n,tout compris,435,,,,
hôtel bel azur thalasso & bungalows 4*,20/02/2019,28/02/2019,Paris,hammamet,9j/8n,tout compris,469,,,,
hôtel bel azur thalasso & bungalows 4*,21/02/2019,1/3/2019,Paris,hammamet,9j/8n,tout compris,463,,,,
hôtel bel azur thalasso & bungalows 4*,22/02/2019,2/3/2019,Paris,hammamet,9j/8n,tout compris,525,,,,
hôtel bel azur thalasso & bungalows 4*,23/02/2019,3/3/2019,Paris,hammamet,9j/8n,tout compris,553,,,,
hôtel bel azur thalasso & bungalows 4*,24/02/2019,4/3/2019,Paris,hammamet,9j/8n,tout compris,499,,,,
hôtel bel azur thalasso & bungalows 4*,25/02/2019,5/3/2019,Paris,hammamet,9j/8n,tout compris,497,,,,
hôtel bel azur thalasso & bungalows 4*,26/02/2019,6/3/2019,Paris,hammamet,9j/8n,tout compris,491,,,,
hôtel bel azur thalasso & bungalows 4*,27/02/2019,7/3/2019,Paris,hammamet,9j/8n,tout compris,480,,,,
hôtel bel azur thalasso & bungalows 4*,28/02/2019,8/3/2019,Paris,hammamet,9j/8n,tout compris,480,,,,
hôtel bel azur thalasso & bungalows 4*,15/02/2019,21/02/2019,Paris,hammamet,7j/6n,tout compris,448,,,,
hôtel bel azur thalasso & bungalows 4*,16/02/2019,22/02/2019,Paris,hammamet,7j/6n,tout compris,441,,,,
